BMI;Gewicht;KH
26,465;75,228;168,6
27,888;85,7;175,3
21,188;53,7;159,2
17,616;30;130,5
39,004;109,3;167,4
35,311;89,157;158,9
25,59;68,242;163,3
19,502;52,196;163,6
23,587;68,809;170,8
21,791;50,678;152,5
21,804;66,167;174,2
27,382;79,04;169,9
20,959;60,357;169,7
17,488;27,985;126,5
22,46;62,789;167,2
23,051;57,544;158
21,778;56,1;160,5
21,162;59,8;168,1
20,751;55,2;163,1
25,64;74,1;170
20,349;29,4;120,2
22,717;64,5;168,5
25,542;70,3;165,9
17,969;47,1;161,9
23,468;76,8;180,9
21,823;61,3;167,6
24,66;68,2;166,3
20,278;57,3;168,1
27,166;85,3;177,2
17,998;51,1;168,5
30,393;90,333;172,4
21,985;54,605;157,6
24,478;73,514;173,3
23,79;58,415;156,7
27,824;65,644;153,6
22,533;68,455;174,3
28,175;79,236;167,7
30,53;76,506;158,3
22,34;55,7;157,9
27,689;74,2;163,7
23,197;63;164,8
24,403;57,8;153,9
23,486;62,4;163
18,802;49,1;161,6
39,194;102,1;161,4
17,179;45,7;163,1
24,605;73,3;172,6
23,436;60,9;161,2
20,846;52,9;159,3
31,561;87,6;166,6
24,85;47,6;138,4
18,555;49,3;163
22,633;56,5;158
20,717;57,5;166,6
20,129;55,4;165,9
25,243;71,5;168,3
23,771;55,5;152,8
21,813;56,4;160,8
21,315;57,4;164,1
30,084;83,4;166,5
19,815;54,8;166,3
19,817;52,2;162,3
20,091;54,3;164,4
22,674;64,3;168,4
21,875;56;160
29,654;83;167,3
19,666;59,2;173,5
25,953;68,7;162,7
20,029;56,8;168,4
22,601;63,334;167,4
17,711;43,6;156,9
23,658;57,5;155,9
18,816;48,652;160,8
33,79;84,674;158,3
33,013;82,1;157,7
19,606;55,6;168,4
24,754;70,2;168,4
32,196;86,7;164,1
26,246;84;178,9
17,853;44,4;157,7
24,44;77;177,5
16,915;41,8;157,2
43,081;109,6;159,5
51,537;132,1;160,1
26,212;69,3;162,6
25,394;76,795;173,9
36,834;94,885;160,5
20,983;59,151;167,9
24,761;61,734;157,9
33,763;78,417;152,4
36,025;90,733;158,7
28,322;72,505;160
18,974;53,552;168
25,487;67,882;163,2
54,704;144,097;162,3
34,713;92,683;163,4
20,583;58,3;168,3
25,148;77,015;175
26,826;68,161;159,4
21,037;53,923;160,1
30,103;77,934;160,9
24,218;66,655;165,9
21,233;57,737;164,9
27,479;70,435;160,1
19,574;52,711;164,1
20,324;57,978;168,9
19,982;58,91;171,7
29,275;78,162;163,4
17,444;47,376;164,8
23,773;62,081;161,6
25,144;58,859;153
17,421;49,462;168,5
24,836;67,453;164,8
42,854;102,56;154,7
21,191;57,345;164,5
32,163;90,884;168,1
21,042;59,885;168,7
41,582;107,116;160,5
22,025;71,996;180,8
18,989;52,2;165,8
22,306;52,9;154
32,549;88,4;164,8
29,9;81,6;165,2
28,825;78;164,5
39,708;102,8;160,9
36,459;90,9;157,9
34,693;90,6;161,6
42,523;117,6;166,3
35,551;88,3;157,6
37,554;95,3;159,3
21,012;56,1;163,4
31,165;82,7;162,9
28,614;92,4;179,7
31,311;83,6;163,4
25,955;60,6;152,8
62,749;175;167
38,791;88,8;151,3
29,113;73,6;159
42,352;93,9;148,9
34,886;87,2;158,1
31,845;90,2;168,3
24,487;63;160,4
38,912;102,5;162,3
28,62;80,2;167,4
34,406;96,3;167,3
35,838;82,8;152
26,695;72,5;164,8
25,561;67;161,9
33,426;86;160,4
39,034;103,2;162,6
42,51;121,7;169,2
36,421;97,6;163,7
34,819;101,1;170,4
22,258;62;166,9
31,393;94,5;173,5
34,518;85,3;157,2
30,973;83;163,7
18,888;50;162,7
25,831;72,3;167,3
22,742;66,5;171
35,819;90,1;158,6
24,938;69,3;166,7
19,708;59,6;173,9
26,724;68,5;160,1
37,38;110,2;171,7
31,349;83,7;163,4
22,149;59,5;163,9
32,329;80,4;157,7
22,154;53,5;155,4
26,825;65,7;156,5
22,176;60,3;164,9
19,604;53,5;165,2
18,491;53;169,3
23,11;61,4;163
20,291;62;174,8
27,535;77,9;168,2
43,664;111,5;159,8
31,344;93,7;172,9
39,494;111,6;168,1
26,212;64,2;156,5
32,651;81,2;157,7
28,755;76,4;163
37,704;102,4;164,8
25,601;69,7;165
63,44;199,2;177,2
33,993;102,8;173,9
32,701;83,4;159,7
47,772;131,8;166,1
